edad,años_empresa,satisfaccion_equipo,estres_reportado,horas_formacion_mes_log,distancia_oficina_km_log,bono_anual_log,hijos_bin,jornada_bin,sexo_Mujer,sexo_No binario,departamento_Marketing,departamento_Operaciones,departamento_RRHH,departamento_Ventas
0.2669388496366972,-0.7994611428412653,0.8418323371453306,1.283339303662907,-1.5172019193329356,-0.40825982805518923,0.8019698043933798,0,0,True,False,False,False,False,True
-1.6406188074366193,-1.3558789761105203,-0.8924740846621081,-0.12944649918603435,1.2465546473827729,-1.1500228244201465,-0.5089048135974669,0,0,False,False,False,False,True,False
-0.9252846860341256,1.5374937568896052,-0.1987515159391326,1.283339303662907,1.3943881746494484,0.38047848372742,-0.34784379671238497,1,0,True,False,False,False,False,False
-1.3226925312577333,1.6487773235434562,0.49497105278384285,-0.48264294989826967,0.5273187386599183,0.33601869331067863,-1.0983734961918434,0,1,True,False,False,False,False,True
0.18745728059197567,0.31337452369724444,-0.5456128003006203,1.283339303662907,0.17379004817835444,-0.18670941926951085,-1.0228105965322603,1,0,True,False,False,False,False,False
0.8233098329497478,-0.5768940095335634,0.8418323371453306,-1.1890358513227404,0.5732812802597337,0.33601869331067863,1.7858051631862832,1,0,False,False,False,True,False,False
1.1412361091286338,-0.0204761762643085,0.49497105278384285,-1.1890358513227404,-0.03460149855606943,0.38047848372742,-1.8489031956713018,1,0,False,False,False,False,False,True
1.0617545400839123,1.4262101902357542,0.49497105278384285,-0.48264294989826967,-0.980372442721505,-0.40825982805518923,0.1846654995629051,0,1,True,False,False,False,False,False
-1.720100376481341,1.2036430569280523,-0.1987515159391326,0.9301428529506717,1.1059306281866657,-0.675949774927083,0.8019698043933798,1,1,False,False,False,False,False,True
1.1412361091286338,1.3149266235819033,-1.2393353690235958,1.6365357543751424,-1.8284961114459546,-0.2564132136574788,0.06520250285713612,0,0,False,False,False,False,False,True
-1.4816556693471763,-0.5768940095335634,1.1886936215068182,-0.835839400610505,-1.3286145524512192,0.31320028959203033,0.06520250285713612,1,0,True,False,False,True,False,False
1.1412361091286338,-0.4656104428797124,1.1886936215068182,-0.48264294989826967,-0.8200624489969165,1.9016875060503358,-1.435856896101781,1,1,True,False,False,True,False,False
-1.3226925312577333,-1.0220282761489674,0.14810976842235513,-1.5422323020349757,-0.9381713386712205,-0.2927312816047743,-1.968366192377071,1,0,False,False,False,False,False,False
